개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,약국영업면적,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,지정일자,최종수정시점
3250000,PHMD120103250021084000002,2010-03-17,,폐업,2010-04-08,,,600-072,,미래약국,I,2026-03-26 22:33:58,부산광역시 중구 흑교로 18 (부평동2가),폐업,03,50,03,0512481293,384598.903964711    ,179879.997494786    ,부산광역시 중구 부평동2가 68번지 4호,2010-03-17,2010-04-08 10:39:12
3250000,PHMD120103250021084000003,2010-05-06,,폐업,2013-04-17,,,600-072,,밝은미래약국,I,2026-03-26 22:33:58,부산광역시 중구 흑교로 18 (부평동2가),폐업,03,50,03,0512315898,384598.903964711    ,179879.997494786    ,부산광역시 중구 부평동2가 68번지 4호,2010-05-06,2013-04-17 10:44:28
3250000,PHMD120103250021084000004,2010-08-16,,폐업,2011-09-08,,,600-806,,용두산약국,I,2026-03-26 22:33:58,부산광역시 중구 중구로39번길 46 (부평동2가),폐업,03,53,03,,384602.070212788    ,179921.031045508    ,부산광역시 중구 부평동2가 69번지 4호,2010-08-16,2011-09-09 11:42:02
3250000,PHMD120103250021084000005,2010-08-17,,폐업,2017-05-31,,,600-017,48944,보민약국,I,2026-03-26 22:33:59,부산광역시 중구 중앙대로 2 (중앙동7가),폐업,03,56,03,,385590.814676765    ,179553.867031936    ,부산광역시 중구 중앙동7가 20번지 1호 외 110필지,2010-08-17,2017-05-31 15:46:08
3250000,PHMD120103250021084000006,2010-10-01,,폐업,2016-11-21,,,600-025,48921,한솔약국,I,2026-03-26 22:33:59,부산광역시 중구 동영로 4 (동광동5가),폐업,03,62,03,,385305.463245849    ,180614.22050161     ,부산광역시 중구 동광동5가 16번지 37호 외2필지,2010-10-01,2016-11-21 10:54:00
3250000,PHMD120103250021084000008,2010-10-06,,폐업,2012-10-04,,,600-806,,참좋은국제약국,I,2026-03-26 22:33:59,부산광역시 중구 흑교로 38 (부평동2가),폐업,03,132,03,,384608.762917794    ,180072.685017363    ,부산광역시 중구 부평동2가 80번지 3호,2010-10-06,2012-10-04 15:26:30
3250000,PHMD120113250021084000001,2011-02-18,,폐업,2011-06-02,,,600-806,,위생약국,I,2026-03-26 22:33:59,부산광역시 중구 흑교로 16-1 (부평동2가),폐업,03,50,03,,384599.392456657    ,179851.803683914    ,부산광역시 중구 부평동2가 66번지 5호,2011-02-18,2011-06-02 16:16:38
3250000,PHMD120113250021084000002,2011-05-02,,폐업,2015-07-31,,,600-810,,대청그린약국,I,2026-03-26 22:33:59,부산광역시 중구 영주로 12 (영주동),폐업,03,40,03,,385217.888474041    ,180882.357628017    ,부산광역시 중구 영주2동 287번지 17호,2011-05-02,2015-07-31 10:57:47
3250000,PHMD120113250021084000003,2011-05-12,,폐업,2012-01-17,,,600-111,,주약국,I,2026-03-26 22:33:59,부산광역시 중구 중구로188번길 22-1 (영주동),폐업,03,27,03,,385609.476832801    ,180970.211673192    ,부산광역시 중구 영주1동 631번지 7호,2011-05-12,2012-01-17 10:04:23
3250000,PHMD120113250021084000005,2011-09-08,,폐업,2014-02-12,,,600-806,,용두산약국,I,2026-03-26 22:33:59,부산광역시 중구 중구로39번길 46 (부평동2가),폐업,03,53,03,,384602.070212788    ,179921.031045508    ,부산광역시 중구 부평동2가 69번지 4호,2011-09-08,2014-02-12 17:31:05
3250000,PHMD120113250021084000008,2011-12-22,,폐업,2017-09-04,,,600-025,48925,푸른지산약국,I,2026-03-26 22:33:59,부산광역시 중구 샘길 1 (동광동5가),폐업,03,83,03,,385281.02690076     ,180539.427769861    ,부산광역시 중구 동광동5가 19번지 13호,2011-12-22,2017-09-04 10:45:01
3250000,PHMD120123250021084000001,2012-01-16,,폐업,2012-06-01,,,600-092,,성심약국,I,2026-03-26 22:33:59,부산광역시 중구 대청로 92-1 (대청동2가),폐업,03,50,03,,385019.980943991    ,180070.090474089    ,부산광역시 중구 대청동2가 22번지 20호,2012-01-16,2012-06-01 14:14:03
3250000,PHMD120123250021084000004,2012-06-11,,폐업,2018-07-02,,,600-092,48949,오즈약국,I,2026-03-26 22:33:59,부산광역시 중구 광복중앙로34번길 13 (대청동2가),폐업,03,37,03,,385163.897713577    ,180030.687677778    ,부산광역시 중구 대청동2가 28번지 4호,2012-06-11,2018-07-02 09:38:37
3250000,PHMD120123250021084000005,2012-06-20,,폐업,2012-11-30,,,600-111,,성황리약국,I,2026-03-26 22:33:59,부산광역시 중구 대영로224번길 3 (영주동),폐업,03,66,03,0513146240,385477.242056661    ,181072.865123329    ,부산광역시 중구 영주1동 568번지 4호,2012-06-20,2012-12-03 12:37:57
3250000,PHMD120123250021084000006,2012-06-25,,폐업,2013-05-01,,,600-093,,새메디칼약국,I,2026-03-26 22:33:59,부산광역시 중구 대청로 85-1 (대청동3가),폐업,03,46,03,,384952.236804209    ,180111.742951117    ,부산광역시 중구 대청동3가 9번지 3호,2012-06-25,2013-05-01 16:26:25
3250000,PHMD120123250021084000007,2012-07-17,,폐업,2013-09-03,,,600-806,,동인약국,I,2026-03-26 22:33:59,부산광역시 중구 대청로 52 (부평동2가),폐업,03,28,03,,384613.813034885    ,180082.490276656    ,부산광역시 중구 부평동2가 80번지 7호,2012-07-17,2013-09-03 15:47:34
3250000,PHMD120123250021084000008,2012-10-04,,폐업,2013-01-07,,,600-806,,국제약국,I,2026-03-26 22:33:59,부산광역시 중구 흑교로 38 (부평동2가),폐업,03,132,03,0512462768,384608.762917794    ,180072.685017363    ,부산광역시 중구 부평동2가 80번지 3호,2012-10-04,2013-01-07 15:06:18
3250000,PHMD120123250021084000010,2012-12-05,,폐업,2014-07-14,,,600-025,,새명성약국,I,2026-03-26 22:33:59,부산광역시 중구 중구로 124-3 (동광동5가),폐업,03,34,03,0514672270,385288.421569311    ,180565.352726871    ,부산광역시 중구 동광동5가 16번지 266호,2012-12-05,2014-07-14 10:58:12
3250000,PHMD120133250021084000001,2013-01-07,,폐업,2016-06-01,,,600-806,48977,국제약국,I,2026-03-26 22:33:59,부산광역시 중구 흑교로 38 (부평동2가),폐업,03,132,03,0512462768,384608.762917794    ,180072.685017363    ,부산광역시 중구 부평동2가 80번지 3호,2013-01-07,2016-06-01 10:02:50
3250000,PHMD120133250021084000002,2013-03-05,,폐업,2015-08-31,,,600-814,48940,새부산약국,I,2026-03-26 22:33:59,부산광역시 중구 충장대로 24 (중앙동4가),폐업,03,17,03,,386032.23679898     ,180263.270670691    ,부산광역시 중구 중앙동4가 15번지 3호,2013-03-05,2015-08-31 09:52:30
3250000,PHMD120133250021084000004,2013-05-01,,폐업,2018-06-25,,,600-093,48933,새메디칼약국,I,2026-03-26 22:34:00,부산광역시 중구 대청로 85-1 (대청동3가),폐업,03,83,03,,384952.236804209    ,180111.742951117    ,부산광역시 중구 대청동3가 9번지 3호,2013-05-01,2018-06-25 16:36:10
3250000,PHMD120133250021084000005,2013-08-16,,폐업,2015-07-06,,,600-025,,제일약국,I,2026-03-26 22:34:00,부산광역시 중구 동영로 7 (동광동5가),폐업,03,28,03,0514687004,385308.471742967    ,180654.757923543    ,부산광역시 중구 동광동5가 15번지 83호,2013-08-16,2015-07-06 09:53:37
3250000,PHMD120133250021084000006,2013-09-03,,폐업,2014-08-08,,,600-807,,예사랑약국,I,2026-03-26 22:34:00,부산광역시 중구 흑교로 6 (부평동2가),폐업,03,57,03,0512536636,384599.156761224    ,179746.243173324    ,부산광역시 중구 부평동2가 58번지 2호,2013-09-03,2014-08-08 16:21:43
3250000,PHMD120133250021084000008,2013-09-30,,폐업,2014-06-23,,,600-819,,일진사약국,I,2026-03-26 22:34:00,부산광역시 중구 국제시장2길 5 (창선동2가),폐업,03,106,03,0512531311,384882.400985347    ,179725.478464011    ,부산광역시 중구 창선동2가 27번지 6호,2013-09-30,2014-06-23 13:56:27
3250000,PHMD120143250021084000002,2014-04-02,,폐업,2014-11-23,,,600-014,,중앙약국,I,2026-03-26 22:34:00,부산광역시 중구 중앙대로 154 (중앙동4가),폐업,03,47,03,0512663001,385749.036512052    ,181000.618673514    ,부산광역시 중구 중앙동4가 76번지 14호,2014-04-02,2014-11-24 09:53:25
3250000,PHMD120143250021084000005,2014-07-14,,폐업,2016-03-14,,,600-025,48925,새명성약국,I,2026-03-26 22:34:00,부산광역시 중구 중구로 124-3 (동광동5가),폐업,03,34,03,0514672270,385286.001691044    ,180562.679911199    ,부산광역시 중구 동광동5가 16번지 267호,2014-07-14,2016-03-14 10:04:40
3250000,PHMD120153250021084000003,2015-08-18,,폐업,2015-12-16,,,,48963,행복약국,I,2026-03-26 22:34:00,부산광역시 중구 흑교로 53 (보수동2가),폐업,03,41,03,0512413490,384535.453553411    ,180215.945734807    ,부산광역시 중구 보수동2가 89번지 4호,2015-08-18,2015-12-17 09:31:04
3250000,PHMD119763250021084000001,1976-06-17,,폐업,2018-01-17,,,600-011,48957,은행약국,I,2026-03-26 22:33:56,부산광역시 중구 해관로 16 (중앙동1가),폐업,03,0,03,0512463137,,,부산광역시 중구 중앙동1가 22번지 17호,1976-06-17,2018-01-17 13:53:41
3250000,PHMD119813250021084000001,1981-03-06,,폐업,2010-11-22,,,,,세영약국,I,2026-03-26 22:33:56,,폐업,03,0,03,0512462496,,,부산광역시 중구 부평동 2가 42-3,1981-03-06,2011-05-02 14:08:13
3250000,PHMD119823250021084000002,1982-04-29,,폐업,2011-05-02,,,,,대청약국,I,2026-03-26 22:33:56,,폐업,03,0,03,0514626353,,,부산광역시 중구 영주2동 287-17,1982-04-29,2011-05-02 09:24:43
